Datetime,Tweet Id,Link,Text,Username,Total replycount,Total retweetcount,Source,Total likecount
2022-05-10 20:51:56+00:00,1524130139709349890,https://twitter.com/jack/status/1524130139709349890,"@BestLiveAudio @KurtWagner8 as I said in the thread, we made the decision based on the information we had and what we thought best. impossible situation. I'm saying a corporation should not have to make this decision in the first place. not for something as important as public conversation.",jack,64,22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",162
2022-05-10 20:49:53+00:00,1524129623944089601,https://twitter.com/jack/status/1524129623944089601,@LanceUlanoff @danprimack twitter isn't a bar,jack,217,119,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1943
2022-05-10 20:44:45+00:00,1524128328264957952,https://twitter.com/jack/status/1524128328264957952,"@KurtWagner8 yes, businesses should not be making these decisions...read the rest of the sentence.",jack,104,36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",876
2022-05-10 19:29:19+00:00,1524109346711519233,https://twitter.com/jack/status/1524109346711519233,"@danprimack it was a business decision, it shouldn't have been. and we should always revisit our decisions and evolve as necessary. I stated in that thread and still believe that permanent bans of individuals are directionally wrong.",jack,539,293,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2238
2022-05-10 19:02:23+00:00,1524102568691093508,https://twitter.com/jack/status/1524102568691093508,@JameelJaffer agree,jack,20,6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",72
2022-05-10 18:45:51+00:00,1524098407794622466,https://twitter.com/jack/status/1524098407794622466,@kevinmarks @fredwilson @danprimack @elonmusk I know they are. the team is doing great work here and being more transparent than ever.,jack,8,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",47
2022-05-10 18:41:31+00:00,1524097318554845185,https://twitter.com/jack/status/1524097318554845185,@davidmweissman @danprimack that's CSE,jack,10,5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",66
2022-05-10 18:39:54+00:00,1524096912705703943,https://twitter.com/jack/status/1524096912705703943,@kevinmarks @fredwilson @danprimack @elonmusk and was a mistake to do so. company has done a lot of good work to correct that,jack,6,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",26
2022-05-10 18:39:09+00:00,1524096722020016133,https://twitter.com/jack/status/1524096722020016133,@fredwilson @danprimack @elonmusk I think it should def be a client of an open protocol. it could provide a view others do not.,jack,28,13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",98
2022-05-10 18:38:23+00:00,1524096528419274753,https://twitter.com/jack/status/1524096528419274753,"@danprimack I do agree. There are exceptions (CSE, illegal behaviour, spam or network manipulation, etc), but generally permanent bans are a failure of ours and don't work, which I wrote about here after the event (and called for a resilient social media protocol): https://t.co/fQ9KnrCQGX",jack,287,188,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1322
